date,crop,market,state,arrival_quantity,price_min,price_max,modal_price
2025-01-13,Cotton,Aurangabad,Maharashtra,256.4,6609.0,7500.0,7055.0
2025-01-13,Cotton,Indore,Madhya Pradesh,179.6,6429.0,7328.0,6878.0
2025-01-13,Cotton,Jaipur,Rajasthan,256.3,6690.0,7349.0,7019.0
2025-01-13,Cotton,Nagpur,Maharashtra,104.8,6671.0,7226.0,6949.0
2025-01-13,Maize,Bengaluru,Karnataka,93.4,2034.0,2315.0,2175.0
2025-01-13,Maize,Indore,Madhya Pradesh,154.0,1890.0,2110.0,2000.0
2025-01-13,Maize,Nagpur,Maharashtra,257.5,1906.0,2136.0,2021.0
2025-01-13,Maize,Nashik,Maharashtra,247.0,1950.0,2235.0,2093.0
2025-01-13,Onion,Bengaluru,Karnataka,271.4,1661.0,1847.0,1754.0
2025-01-13,Onion,Indore,Madhya Pradesh,260.7,1517.0,1709.0,1613.0
2025-01-13,Onion,Nashik,Maharashtra,242.9,1628.0,1748.0,1688.0
2025-01-13,Onion,Pune,Maharashtra,104.2,1612.0,1846.0,1729.0
2025-01-13,Potato,Bhopal,Madhya Pradesh,250.9,1088.0,1230.0,1159.0
2025-01-13,Potato,Jaipur,Rajasthan,199.3,1109.0,1221.0,1165.0
2025-01-13,Potato,Karnal,Haryana,160.0,1133.0,1232.0,1182.0
2025-01-13,Potato,Pune,Maharashtra,112.3,1141.0,1306.0,1223.0
2025-01-13,Pulses,Aurangabad,Maharashtra,111.6,5571.0,6383.0,5977.0
2025-01-13,Pulses,Bengaluru,Karnataka,86.6,5919.0,6752.0,6336.0
2025-01-13,Pulses,Indore,Madhya Pradesh,195.8,5555.0,6099.0,5827.0
2025-01-13,Pulses,Jaipur,Rajasthan,177.8,5584.0,6310.0,5947.0
2025-01-13,Rice,Bengaluru,Karnataka,171.0,3163.0,3419.0,3291.0
2025-01-13,Rice,Karnal,Haryana,185.9,3010.0,3262.0,3136.0
2025-01-13,Rice,Ludhiana,Punjab,250.2,3093.0,3333.0,3213.0
2025-01-13,Rice,Nagpur,Maharashtra,136.4,2953.0,3163.0,3058.0
2025-01-13,Soybean,Aurangabad,Maharashtra,265.5,4326.0,4636.0,4481.0
2025-01-13,Soybean,Bhopal,Madhya Pradesh,166.1,4144.0,4728.0,4436.0
2025-01-13,Soybean,Indore,Madhya Pradesh,253.0,4135.0,4602.0,4369.0
2025-01-13,Soybean,Nagpur,Maharashtra,140.3,4207.0,4620.0,4413.0
2025-01-13,Sugarcane,Aurangabad,Maharashtra,385.3,313.0,342.0,328.0
2025-01-13,Sugarcane,Bhopal,Madhya Pradesh,293.7,315.0,335.0,325.0
2025-01-13,Sugarcane,Karnal,Haryana,299.8,312.0,351.0,331.0
2025-01-13,Sugarcane,Pune,Maharashtra,408.0,324.0,361.0,343.0
2025-01-13,Tomato,Bengaluru,Karnataka,125.4,1435.0,1615.0,1525.0
2025-01-13,Tomato,Jaipur,Rajasthan,217.0,1356.0,1507.0,1431.0
2025-01-13,Tomato,Nashik,Maharashtra,225.1,1414.0,1521.0,1467.0
2025-01-13,Tomato,Pune,Maharashtra,119.4,1453.0,1553.0,1503.0
2025-01-13,Wheat,Aurangabad,Maharashtra,168.6,2259.0,2556.0,2408.0
2025-01-13,Wheat,Bhopal,Madhya Pradesh,136.2,2249.0,2519.0,2384.0
2025-01-13,Wheat,Indore,Madhya Pradesh,119.9,2194.0,2501.0,2347.0
2025-01-13,Wheat,Karnal,Haryana,229.9,2264.0,2599.0,2432.0
2025-01-13,Wheat,Ludhiana,Punjab,154.9,2407.0,2577.0,2492.0
2025-01-14,Cotton,Aurangabad,Maharashtra,113.7,6608.0,7334.0,6971.0
2025-01-14,Cotton,Indore,Madhya Pradesh,264.2,6513.0,7329.0,6921.0
2025-01-14,Cotton,Jaipur,Rajasthan,263.0,6784.0,7502.0,7143.0
2025-01-14,Cotton,Nagpur,Maharashtra,185.9,6723.0,7226.0,6974.0
2025-01-14,Maize,Bengaluru,Karnataka,211.1,2073.0,2259.0,2166.0
2025-01-14,Maize,Indore,Madhya Pradesh,236.7,1904.0,2060.0,1982.0
2025-01-14,Maize,Nagpur,Maharashtra,119.0,1938.0,2136.0,2037.0
2025-01-14,Maize,Nashik,Maharashtra,109.2,2055.0,2189.0,2122.0
2025-01-14,Onion,Bengaluru,Karnataka,210.2,1709.0,1849.0,1779.0
2025-01-14,Onion,Indore,Madhya Pradesh,258.3,1511.0,1681.0,1596.0
2025-01-14,Onion,Nashik,Maharashtra,297.1,1531.0,1735.0,1633.0
2025-01-14,Onion,Pune,Maharashtra,166.2,1594.0,1784.0,1689.0
2025-01-14,Potato,Bhopal,Madhya Pradesh,117.6,1105.0,1257.0,1181.0
2025-01-14,Potato,Jaipur,Rajasthan,204.1,1143.0,1256.0,1199.0
2025-01-14,Potato,Karnal,Haryana,293.0,1119.0,1190.0,1155.0
2025-01-14,Potato,Pune,Maharashtra,297.9,1158.0,1325.0,1241.0
2025-01-14,Pulses,Aurangabad,Maharashtra,285.1,5671.0,6425.0,6048.0
2025-01-14,Pulses,Bengaluru,Karnataka,232.2,6117.0,6560.0,6339.0
2025-01-14,Pulses,Indore,Madhya Pradesh,163.8,5517.0,6033.0,5775.0
2025-01-14,Pulses,Jaipur,Rajasthan,284.5,5557.0,6196.0,5877.0
2025-01-14,Rice,Bengaluru,Karnataka,114.6,3054.0,3486.0,3270.0
2025-01-14,Rice,Karnal,Haryana,248.2,2930.0,3281.0,3105.0
2025-01-14,Rice,Ludhiana,Punjab,313.9,3093.0,3331.0,3212.0
2025-01-14,Rice,Nagpur,Maharashtra,255.8,2997.0,3198.0,3098.0
2025-01-14,Soybean,Aurangabad,Maharashtra,260.0,4235.0,4714.0,4475.0
2025-01-14,Soybean,Bhopal,Madhya Pradesh,313.1,4185.0,4535.0,4360.0
2025-01-14,Soybean,Indore,Madhya Pradesh,116.7,4173.0,4506.0,4339.0
2025-01-14,Soybean,Nagpur,Maharashtra,221.0,4314.0,4736.0,4525.0
2025-01-14,Sugarcane,Aurangabad,Maharashtra,276.4,314.0,345.0,330.0
2025-01-14,Sugarcane,Bhopal,Madhya Pradesh,520.8,303.0,346.0,324.0
2025-01-14,Sugarcane,Karnal,Haryana,197.8,317.0,344.0,331.0
2025-01-14,Sugarcane,Pune,Maharashtra,318.7,332.0,358.0,345.0
2025-01-14,Tomato,Bengaluru,Karnataka,139.5,1528.0,1663.0,1595.0
2025-01-14,Tomato,Jaipur,Rajasthan,324.3,1282.0,1465.0,1373.0
2025-01-14,Tomato,Nashik,Maharashtra,375.3,1229.0,1391.0,1310.0
2025-01-14,Tomato,Pune,Maharashtra,313.1,1444.0,1582.0,1513.0
2025-01-14,Wheat,Aurangabad,Maharashtra,305.1,2305.0,2465.0,2385.0
2025-01-14,Wheat,Bhopal,Madhya Pradesh,259.4,2281.0,2570.0,2426.0
2025-01-14,Wheat,Indore,Madhya Pradesh,165.3,2264.0,2423.0,2344.0
2025-01-14,Wheat,Karnal,Haryana,100.6,2288.0,2622.0,2455.0
2025-01-14,Wheat,Ludhiana,Punjab,171.3,2327.0,2622.0,2475.0
2025-01-15,Cotton,Aurangabad,Maharashtra,334.3,6614.0,7063.0,6838.0
2025-01-15,Cotton,Indore,Madhya Pradesh,141.0,6543.0,7093.0,6818.0
2025-01-15,Cotton,Jaipur,Rajasthan,192.0,6979.0,7521.0,7250.0
2025-01-15,Cotton,Nagpur,Maharashtra,270.4,6793.0,7282.0,7038.0
2025-01-15,Maize,Bengaluru,Karnataka,105.2,2026.0,2277.0,2152.0
2025-01-15,Maize,Indore,Madhya Pradesh,192.9,1881.0,2097.0,1989.0
2025-01-15,Maize,Nagpur,Maharashtra,319.3,1956.0,2151.0,2053.0
2025-01-15,Maize,Nashik,Maharashtra,144.2,1999.0,2216.0,2108.0
2025-01-15,Onion,Bengaluru,Karnataka,129.6,1603.0,1733.0,1668.0
2025-01-15,Onion,Indore,Madhya Pradesh,273.2,1629.0,1789.0,1709.0
2025-01-15,Onion,Nashik,Maharashtra,302.2,1474.0,1592.0,1533.0
2025-01-15,Onion,Pune,Maharashtra,162.4,1560.0,1783.0,1671.0
2025-01-15,Potato,Bhopal,Madhya Pradesh,184.9,1172.0,1292.0,1232.0
2025-01-15,Potato,Jaipur,Rajasthan,301.7,1167.0,1275.0,1221.0
2025-01-15,Potato,Karnal,Haryana,326.5,1149.0,1276.0,1213.0
2025-01-15,Potato,Pune,Maharashtra,205.3,1145.0,1253.0,1199.0
2025-01-15,Pulses,Aurangabad,Maharashtra,196.5,5769.0,6212.0,5991.0
2025-01-15,Pulses,Bengaluru,Karnataka,114.6,6253.0,6688.0,6470.0
2025-01-15,Pulses,Indore,Madhya Pradesh,306.2,5426.0,6086.0,5756.0
2025-01-15,Pulses,Jaipur,Rajasthan,193.7,5598.0,6199.0,5899.0
2025-01-15,Rice,Bengaluru,Karnataka,209.7,3084.0,3502.0,3293.0
2025-01-15,Rice,Karnal,Haryana,104.4,3000.0,3245.0,3123.0
2025-01-15,Rice,Ludhiana,Punjab,196.1,3055.0,3355.0,3205.0
2025-01-15,Rice,Nagpur,Maharashtra,266.5,2843.0,3240.0,3042.0
2025-01-15,Soybean,Aurangabad,Maharashtra,279.0,4200.0,4760.0,4480.0
2025-01-15,Soybean,Bhopal,Madhya Pradesh,242.7,4153.0,4536.0,4344.0
2025-01-15,Soybean,Indore,Madhya Pradesh,112.1,4107.0,4696.0,4402.0
